location,zika_total
BOYACA,0
BOYACA,0
BOYACA,0
BOYACA,0
BOYACA,0
CALDAS,1
CALDAS,9
CALDAS,1
CALDAS,0
CALDAS,0
CALDAS,0
CALDAS,3
CALDAS,1
CALDAS,37
CALDAS,0
CALDAS,4
CALDAS,14
CALDAS,3
CALDAS,0
CALDAS,1
CALDAS,4
CALDAS,1
CALDAS,10
CALDAS,2
CALDAS,2
CALDAS,0
CALDAS,0
CALDAS,4
CALDAS,1
CALDAS,2
CALDAS,19
CALDAS,0
CALDAS,22
CAQUETA,0
CAQUETA,291
CAQUETA,0
CAQUETA,15
CAQUETA,5
CAQUETA,1
CAQUETA,30
CAQUETA,24
CAQUETA,21
CAQUETA,2
CAQUETA,7
CAQUETA,5
CAQUETA,36
CAQUETA,29
CAQUETA,1
CAQUETA,1
CAQUETA,3
CAUCA,1
CAUCA,8
CAUCA,0
CAUCA,1
CAUCA,1
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,2
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,1
CAUCA,1
CAUCA,1
CAUCA,0
CAUCA,1
CAUCA,2
CAUCA,0
CAUCA,2
CAUCA,2
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,4
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,19
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,0
CAUCA,3
CAUCA,0
CAUCA,0
CAUCA,1
CAUCA,0
CAUCA,1
CESAR,8
CESAR,530
CESAR,215
CESAR,1
CESAR,12
CESAR,15
CESAR,20
CESAR,0
CESAR,10
CESAR,40
CESAR,25
CESAR,6
CESAR,4
CESAR,0
CESAR,6
CESAR,3
CESAR,11
CESAR,13
CESAR,5
CESAR,4
CESAR,6
CESAR,10
CESAR,37
CESAR,3
CESAR,13
CESAR,5
CORDOBA,16
CORDOBA,1478
CORDOBA,43
CORDOBA,20
CORDOBA,33
CORDOBA,164
CORDOBA,8
CORDOBA,11
CORDOBA,6
CORDOBA,4
CORDOBA,74
CORDOBA,66
CORDOBA,1
CORDOBA,68
CORDOBA,161
CORDOBA,3
CORDOBA,32
CORDOBA,17
CORDOBA,44
CORDOBA,16
CORDOBA,5
CORDOBA,15
CORDOBA,9
CORDOBA,7
CORDOBA,114
CORDOBA,17
CORDOBA,16
CORDOBA,52
CORDOBA,61
CORDOBA,13
CORDOBA,19
CUNDINAMARCA,33
CUNDINAMARCA,110
CUNDINAMARCA,0
CUNDINAMARCA,110
CUNDINAMARCA,5
CUNDINAMARCA,1
CUNDINAMARCA,1
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,18
CUNDINAMARCA,0
CUNDINAMARCA,6
CUNDINAMARCA,2
CUNDINAMARCA,0
CUNDINAMARCA,1
CUNDINAMARCA,4
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,0
CUNDINAMARCA,295
CUNDINAMARCA,31
CUNDINAMARCA,0
CUNDINAMARCA,7
CUNDINAMARCA,0
